Country,Year
Afghanistan,ongoing
Albania,1978
Algeria,1996
American Samoa,1950
Andorra,1959
Angola,2001
Anguilla,1962
Antigua and Barbuda,1965
Argentina,1984
Armenia,1995
Australia,1972
Austria,1980
Azerbaijan,1995
Bahamas,1967
Bahrain,1993
Bangladesh,2000
Barabados,1967
Belarus,1994
Belgium,1979
Belize,1981
Benin,2000
Bermuda,data not available
Bhutan,1986
Bolivia,1989
Bosnia and Herzegovina,1993
Botswana,1989
Brazil,1989
British Virgin Islands,data not available
Brunei Darussalam,1978
Bulgaria,1982
Burkina Faso,2000
Burundi,1999
Cambodia,1997
Cameroon,1999
Canada,1979
Cape Verde,1988
Cayman Islands,1958
Central African Republic,2000
Chad,2000
Chile,1975
China,1994
Colombia,1991
Comoros,1983
Congo,2000
Cook Islands,1959
Costa Rica,1972
Cote d’Ivoire,2000
Croatia,1990
Cuba,1962
Cyprus,1995
Czech Republic,1960
Democratic People’s Rep. of Korea,1996
Democratic Republic of the Congo,2000
Denmark,1976
Djibouti,1999
Dominica,1980
Dominican Republic,1985
East Timor,1985
Ecuador,1990
Egypt,2004
El Salvador,1987
Equatorial Guinea,1992
Eritrea,1992
Estonia,1961
Ethiopia,2001
Federated States of Micronesia,1970
Fiji,1962
Finland,1963
Former Yugoslav Rep. of Macedonia,1993
France,1989
French Polynesia,1982
French Guiana,1983
Gabon,1996
Gambia,1997
Georgia,1991
Germany,1990
Ghana,2000
Greece,1982
Grenada,1970
Guadeloupe,data not available
Guam,1964
Guatemala,1990
Guinea,1999
Guinea-Bissau,1999
Guyana,1962
Haiti,1989
Honduras,1989
"Hong Kong, SAR",1983
Hungary,1969
Iceland,1960
India,2011
Indonesia,1995
Iran,1997
Iraq,2000
Ireland,1965
Israel,1988
Italy,1982
Jamaica,1982
Japan,1980
Jordan,1988
Kazakhstan,1995
Kenya,1988
Kiribati,data not available
Kuwait,1985
Kyrgyzstan,1992
Lao People’s Democratic Republic,1996
Latvia,1992
Lebanon,1994
Lesotho,1987
Liberia,1999
Libyan Arab Jamahiriya,1991
Lithuania,1971
Luxembourg,1963
"Macao, SAR",1975
Madagascar,1997
Malawi,1991
Malaysia,1986
Maldives,1980
Mali,1999
Malta,1964
Mariana Islands,1960
Marshall Islands,1976
Martinique,data not available
Mauritania,1999
Mauritius,1980
Mexico,1990
Monaco,1964
Mongolia,1993
Montserrat,1976
Morocco,1989
Mozambique,1993
Myanmar,1996
Namibia,1995
Nauru,1910
Nepal,2000
Netherlands,1960
Netherlands Antilles,data not available
New Caledonia,1982
New Zealand,1962
Nicaragua,1981
Niger,2006
Nigeria,ongoing
Niue,1950
Norway,1969
Oman,1993
Pakistan,ongoing
Palau,1940
Palestine N.A.,1988
Panama,1972
Papua New Guinea,1996
Paraguay,1985
Peru,1991
Philippines,1993
Poland,1984
Portugal,1986
Puerto Rico,1974
Qatar,1990
Republic of Moldova,1996
Republic of Korea,1983
Reunion,1979
Romania,1992
Russian Federation,1996
Rwanda,1999
Saint Helena,data not available
Saint Kitts and Nevis,1969
Saint Lucia,1970
Saint Vincent and the Grenadines,1977
Samoa,1950
San Marino,1982
Sao Tome and Principe,1983
Saudi Arabia,1995
Senegal,1998
Seychelles,1980
Sierra Leone,1999
Singapore,1978
Slovakia,1960
Slovenia,1978
Solomon Islands,1972
Somalia,2002
Somalia,2000
South Africa,1989
Spain,1988
Sri Lanka,1993
Sudan,2004
Suriname,1982
Swaziland,1989
Sweden,1977
Switzerland,1982
Syrian Arab Republic,1998
Tajikistan,1997
Thailand,1997
Togo,1999
Tokelau,1950
Tonga,1982
Trinidad and Tobago,1972
Tunisia,1994
Turkey,1998
Turkmenistan,1996
Turks and Caicos Islands,1977
Tuvalu,1936
Uganda,1996
Ukraine,1996
United Arab Emirates,1992
United Kingdom,1982
United Republic of Tanzania,1996
United States of America,1979
Uruguay,1978
US Virgin Islands,data not available
Uzbekistan,1995
Vanuatu,1989
Venezuala,1989
Viet Nam,1997
Wallis and Futuna,1972
West Bank and Gaza,1985
Yemen,1999
Zambia,1995
Zimbabwe,1991
